Review #,Brand,Variety,Style,Country,Stars
10,Smack,Vegetable Beef,Pack,USA,1.5
9,Sutah,Cup Noodle,Cup,South Korea,2
8,Tung-I,Chinese Beef Instant Rice Noodle,Pack,Taiwan,5
7,Ve Wong,Mushroom Pork,Pack,Vietnam,1
6,Vifon,Nam Vang,Pack,Vietnam,2.5
5,Vifon,"Hu Tiu Nam Vang [""Phnom Penh"" style] Asian Style Instant Rice Noodles",Bowl,Vietnam,3.5
4,Wai Wai,Oriental Style Instant Noodles,Pack,Thailand,4
3,Wai Wai,Tom Yum Shrimp,Pack,Thailand,2
2,Wai Wai,Tom Yum Chili Flavor,Pack,Thailand,2
1,Westbrae,Miso Ramen,Pack,USA,0.5
